ux;Rx;Ry
0.0;0.0;0.0
0.0012;-0.048766978308348835;3.979316489617461e-05
0.0024;-0.09712836497515825;5.642468401527087e-05
0.0035999999999999995;-0.14479757045127745;0.00019426348018272005
0.0048;-0.19138306651741024;0.0004665179820091195
0.006;-0.23908559850607305;-0.015346747602866504
0.007199999999999999;-0.28250252461946784;-0.017665676928099214
0.0084;-0.3227976232179177;-0.019546575824874235
0.0096;-0.35933255455032875;-0.012260963961927884
0.010799999999999999;-0.38946664128815045;-0.010916741773761202
0.012;-0.37562803756375823;-0.002415636710109248
0.013199999999999998;-0.3259470069848495;0.03619780559590593
0.014399999999999998;-0.26926938677462003;0.07443643088486286
0.0156;-0.22134972685054408;0.10230583154639898
0.0168;-0.178834665932462;0.11440730572390476
0.018;-0.004609838877817654;-0.0022583009376212983
